MSISDN,PRIVATE_IP,PUBLIC_IP,PORT,SESSION_START,SESSION_END,DEST_IP,DATA_VOLUME_KB
9782373836,10.135.28.117,103.25.154.24,12587,2026-03-15 23:28:52,2026-03-16 00:54:52,6.190.246.219,23486
9782373836,10.22.181.15,103.25.118.1,25920,2026-03-10 07:52:01,2026-03-10 08:10:01,126.200.53.235,384951
9782373836,10.215.224.70,103.25.188.249,54854,2026-03-05 12:33:03,2026-03-05 13:02:03,176.145.203.36,397389
9782373836,10.249.152.236,103.25.118.108,58571,2026-03-04 23:42:02,2026-03-05 00:51:02,12.27.54.183,371245
9782373836,10.250.146.117,103.25.190.160,19955,2026-03-01 06:14:09,2026-03-01 06:33:09,94.245.124.198,71587
9782373836,10.226.32.100,103.25.51.160,50931,2026-03-19 16:39:24,2026-03-19 17:42:24,25.31.232.70,427059
9782373836,10.195.84.196,103.25.39.143,52418,2026-03-09 09:24:26,2026-03-09 09:55:26,222.213.214.196,90714
9782373836,10.27.191.190,103.25.52.4,12183,2026-03-17 20:39:57,2026-03-17 21:13:57,210.81.64.144,378596
9782373836,10.126.44.50,103.25.71.14,37686,2026-03-07 23:21:29,2026-03-07 23:47:29,212.243.61.156,77351
9782373836,10.255.156.48,103.25.71.48,11415,2026-03-12 16:55:27,2026-03-12 18:00:27,109.246.30.44,187990
9782373836,10.128.91.172,103.25.2.2,22132,2026-03-02 19:29:16,2026-03-02 19:35:16,40.136.117.240,464959
9782373836,10.81.209.63,103.25.101.83,10646,2026-03-16 09:05:48,2026-03-16 10:21:48,86.179.196.82,118548
9782373836,10.154.150.246,103.25.146.133,62519,2026-03-14 22:00:18,2026-03-14 22:56:18,203.80.74.183,5868
9782373836,10.55.223.211,103.25.92.65,14901,2026-03-10 04:00:03,2026-03-10 04:59:03,127.107.64.27,42207
