Txn Date,Value Date,Description,Debit,Credit,Balance
16-03-2026,16-03-2026,RTGS/65972784280/rok'am jama,42322.68,,-10568.68
16-03-2026,16-03-2026,IMPS/65972784280/paisa transfer,,45739.3,35170.62
10-03-2026,10-03-2026,IMPS/65972784280/paisa transfer,32495.52,,2675.1
09-03-2026,09-03-2026,UPI/bhavya.sunder@ybl/chukvani,24654.23,,-21979.13
01-03-2026,01-03-2026,NEFT/65972784280/lon hapto,,23233.63,1254.5
17-03-2026,17-03-2026,IMPS/65972784280/paisa transfer,28044.25,,-26789.75
19-03-2026,19-03-2026,RTGS/65972784280/rok'am jama,,34198.27,7408.52
19-03-2026,19-03-2026,RTGS/65972784280/rok'am jama,,7677.61,15086.13
14-03-2026,14-03-2026,RTGS/65972784280/rok'am jama,41363.0,,-26276.87
14-03-2026,14-03-2026,NEFT/65972784280/lon hapto,,36695.94,10419.07
08-03-2026,08-03-2026,RTGS/65972784280/rok'am jama,40627.89,,-30208.82
02-03-2026,02-03-2026,NEFT/65972784280/lon hapto,11553.48,,-41762.3
15-03-2026,15-03-2026,UPI/bhavya.sunder@ybl/khareedi,11261.49,,-53023.79
07-03-2026,07-03-2026,UPI/bhavya.sunder@ybl/khareedi,13222.84,,-66246.63
10-03-2026,10-03-2026,UPI/bhavya.sunder@ybl/khareedi,46306.35,,-112552.98
02-03-2026,02-03-2026,UPI/bhavya.sunder@ybl/khareedi,25787.96,,-138340.94
17-03-2026,17-03-2026,NEFT/65972784280/lon hapto,20590.84,,-158931.78
05-03-2026,05-03-2026,UPI/bhavya.sunder@ybl/khareedi,31095.99,,-190027.77
08-03-2026,08-03-2026,RTGS/65972784280/rok'am jama,47915.62,,-237943.39
18-03-2026,18-03-2026,UPI/bhavya.sunder@ybl/chukvani,19672.19,,-257615.58
01-03-2026,01-03-2026,UPI/bhavya.sunder@ybl/khareedi,,5086.24,-252529.34
06-03-2026,06-03-2026,UPI/bhavya.sunder@ybl/chukvani,,9934.79,-242594.55
