cdr_id,date,time,a_party_number,a_party_imei,a_party_imsi,a_party_operator,b_party_number,b_party_imei,call_type,duration_sec,first_cell_id,last_cell_id,lac,cell_site_address,city,circle,roaming_flag,is_suspicious,scenario_tag
GJ-CDR-0000001,31-03-2026,19:00:00,7084921945,794958581751687,40550089437627,Reliance Jio,8241847827,424723801312434,MOC,9,32326,32326,16574,GJ-MUM-ANDHERI-09,Mumbai,Out-of-Circle,Y,Y,pre_operation_travel
GJ-CDR-0000002,01-04-2026,00:13:51,9055146295,612850396201464,40598359641470,Vi (Vodafone Idea),6355478465,942034105712564,MOC,120,39495,39495,10604,GJ-SUR-CITYLIGHT-11,Surat,Gujarat,N,N,
GJ-CDR-0000003,01-04-2026,00:14:49,9012801151,482747830191497,40540671580280,Vi (Vodafone Idea),8210092376,498903374265985,SMS-MO,0,34990,34990,10142,GJ-SUR-RANDER-03,Surat,Gujarat,N,N,
GJ-CDR-0000004,01-04-2026,00:16:07,9426016481,859700391230172,40570974999432,BSNL,9000864026,941748263331042,MTC,45,30973,30973,10754,GJ-SUR-PIPLOD-04,Surat,Gujarat,N,N,
GJ-CDR-0000005,01-04-2026,00:41:18,9998096914,665101804539699,40577604197913,Vi (Vodafone Idea),6384835410,656411654819398,SMS-MO,0,39588,39588,10517,GJ-SUR-DABHOLI-04,Surat,Gujarat,N,N,
GJ-CDR-0000006,01-04-2026,00:52:57,9042306924,075329566172463,40590031514356,Reliance Jio,6277447802,367159330963838,MTC,219,38927,38927,10558,GJ-SUR-NANPURA-09,Surat,Gujarat,N,N,
GJ-CDR-0000007,01-04-2026,01:05:30,9158366934,213060226260847,40573915981959,Reliance Jio,8155710862,914220896143564,MOC,567,39508,39508,10025,GJ-SUR-KATARGAM-11,Surat,Gujarat,N,N,
GJ-CDR-0000008,01-04-2026,01:06:23,9876217694,160624387079174,40524024547821,Airtel,7062708187,875277269399350,MTC,84,36956,36956,10759,GJ-SUR-VARACHHA-06,Surat,Gujarat,N,N,
GJ-CDR-0000009,01-04-2026,01:13:48,9842344046,319080078555313,40595949023151,Airtel,8195621099,460043623456322,MTC,8,36189,36189,10558,GJ-SUR-NANPURA-02,Surat,Gujarat,N,N,
GJ-CDR-0000010,01-04-2026,01:34:41,9099928840,726638503213723,40591912085920,Airtel,9967124306,091011063465027,SMS-MO,0,30683,30683,10095,GJ-SUR-KAMREJ-06,Surat,Gujarat,N,N,
GJ-CDR-0000011,01-04-2026,01:53:14,8997562626,828874806070012,40519522364065,Reliance Jio,9946748401,455630202047508,MTC,110,31113,31113,10032,GJ-SUR-PALANPUR-04,Surat,Gujarat,N,N,
GJ-CDR-0000012,01-04-2026,02:02:05,7071166329,471044106549030,40522792913089,Vi (Vodafone Idea),9948378959,512269807126681,MOC,61,32586,32586,10032,GJ-SUR-PALANPUR-11,Surat,Gujarat,N,N,
GJ-CDR-0000013,01-04-2026,02:23:24,8264171749,560089674827053,40589699605407,BSNL,9403426146,524941198520001,MTC,4,34639,34639,10759,GJ-SUR-VARACHHA-12,Surat,Gujarat,N,N,
GJ-CDR-0000014,01-04-2026,02:23:27,7058112158,095354903957645,40598399656600,Airtel,9048594227,161764015451112,MTC,57,37282,37282,10089,GJ-SUR-GHODDODROAD-07,Surat,Gujarat,N,N,
GJ-CDR-0000015,01-04-2026,02:27:31,9153443420,420925502213536,40542386279977,Reliance Jio,9874765279,294379559332808,MTC,34,36628,36628,10432,GJ-SUR-LIMBAYAT-01,Surat,Gujarat,N,N,
GJ-CDR-0000016,01-04-2026,02:39:41,7046505527,714645009718055,40577455771798,Reliance Jio,6357091730,743645137591697,MOC,19,35499,35499,10142,GJ-SUR-RANDER-10,Surat,Gujarat,N,N,
GJ-CDR-0000017,01-04-2026,02:43:04,8915391767,254489366792261,40532514640228,Reliance Jio,9051214109,849989711948403,SMS-MT,0,38394,38394,10228,GJ-SUR-ATHWA-09,Surat,Gujarat,N,N,
GJ-CDR-0000018,01-04-2026,02:44:09,9093286999,880197133592061,40578212621554,Reliance Jio,9059461962,155099418475289,MTC,376,31544,31544,10758,GJ-SUR-DUMAS-08,Surat,Gujarat,N,N,
GJ-CDR-0000019,01-04-2026,02:44:13,7056491952,623709426280960,40561350014475,Vi (Vodafone Idea),7043319257,122275239680464,SMS-MO,0,34322,34322,10238,GJ-SUR-ANANDMAHALROAD-08,Surat,Gujarat,N,N,
GJ-CDR-0000020,01-04-2026,02:45:19,8914313744,808376281793028,40532044724810,Reliance Jio,9979370294,394660677017673,MTC,56,37528,37528,10250,GJ-SUR-PANDESARA-08,Surat,Gujarat,N,N,
GJ-CDR-0000021,01-04-2026,02:48:37,9134587319,262117645456227,40520553918925,Reliance Jio,9985613858,150302996711558,MTC,34,38391,38391,10025,GJ-SUR-KATARGAM-08,Surat,Gujarat,N,N,
GJ-CDR-0000022,01-04-2026,02:52:08,6294123507,838827333356413,40556819610074,Reliance Jio,6304577192,955782895425571,SMS-MO,0,31261,31261,10238,GJ-SUR-ANANDMAHALROAD-05,Surat,Gujarat,N,N,
GJ-CDR-0000023,01-04-2026,03:23:28,7018886964,483240477295004,40557146179974,Airtel,6301788342,525005184022332,MOC,8,37168,37168,10913,GJ-SUR-BHATAR-06,Surat,Gujarat,N,N,
GJ-CDR-0000024,01-04-2026,03:33:19,7035830780,084435553244494,40563811717812,Airtel,9145590754,597961816638466,MOC,10,39508,39508,10025,GJ-SUR-KATARGAM-03,Surat,Gujarat,N,N,
GJ-CDR-0000025,01-04-2026,03:48:58,8264171749,560089674827053,40589699605407,BSNL,9837947389,070418881727470,MTC,16,34432,34432,10095,GJ-SUR-KAMREJ-02,Surat,Gujarat,N,N,
GJ-CDR-0000026,01-04-2026,04:16:14,6343975101,458098894333023,40522867128617,Reliance Jio,9134587319,262117645456227,MTC,23,38827,38827,15557,GJ-NAV-LUNSIKUI-01,Navsari,Gujarat,Y,N,
