account_no,date,particulars,withdrawal_amt,deposit_amt,closing_balance
8386379402,2025/05/28 08:37:00,NEFT-CREDIT-289623091307-SALARY,,44110,61058.87
8386379402,2025/05/17 14:50:23,NEFT-DEBIT-733484344375-Tripti Yadav,2968,,55835.87
8386379402,2025/06/05 04:39:22,UPI-DEBIT-199330833016-tripti.yadav@okaxis,1310,,
8386379402,2025/06/10 03:26:08,NEFT-DEBIT-400499154788-Fariq Kaul,2297,,37670.87
8386379402,2025/06/03 06:10:37,IMPS-274205493296-Daksh Karnik,13261,,24409.87
8386379402,2025/05/16 22:03:44,UPI-DEBIT-227530463745-daksh.karnik@oksbi,1521,,22888.87
8386379402,2025/05/22 16:29:56,UPI-DEBIT-910883982258-daksh.karnik@oksbi,8753,,19931.87
8386379402,2025/05/06 15:25:45,UPI-DEBIT-187072867908-rushil.saini@paytm,3465,,16466.87
8386379402,2025/06/02 15:49:52,UPI-DEBIT-403910651801-diya.rattan@okicici,5149,,11317.87
931034131647,2025/05/28 12:33:00,NEFT-CREDIT-622444721264-SALARY,,43730,81347.97
931034131647,2025/05/04 17:37:11,NEFT-DEBIT-937124065965-Diya Rattan,1210,,80137.97
931034131647,2025/05/17 05:59:45,IMPS-937526547935-Ayushman Chander,12055,,68082.97
931034131647,2025/06/03 10:31:54,NEFT-DEBIT-757177514010-Gavin Batta,4555,,38538.97
931034131647,2025/05/24 15:00:42,UPI-DEBIT-827422579050-gavin.batta@ybl,8904,,7237.97
931034131647,2025/05/07 15:04:28,UPI-DEBIT-876767721903-lajita.mall@okhdfcbank,3296,,3941.97
139537672423,2025/05/28 10:10:00,NEFT-CREDIT-191380003075-SALARY,,68242,111913.19
139537672423,2025/05/03 05:30:38,IMPS-187053494937-Fariq Kaul,2564,,101500.19
139537672423,2025/06/10 02:48:36,UPI-CREDIT-213568044206-fariq.kaul@okhdfcbank,,9984,92772.19
139537672423,2025/06/01 10:08:02,UPI-DEBIT-701462638380-aarush.lall@okaxis,4935,,106506.19
801845146270,2025/05/08 21:48:03,NEFT-DEBIT-346800722903-Gagan Sami,1106,,68698.9
801845146270,2025/06/12 23:26:51,UPI-DEBIT-824172482513-daksh.karnik@oksbi,1668,,59364.9
801845146270,2025/05/19 12:40:36,UPI-CREDIT-223569725217-gayathri.chaudry@okicici,,8780,62700.9
801845146270,2025/06/05 14:42:35,UPI-CREDIT-421689421044-daksh.karnik@oksbi,,4176,57170.9
1718227824,2025/05/15 07:40:29,UPI-DEBIT-882100996881-isha.kadakia@ybl,2974,,97094.15
1718227824,2025/06/07 10:04:07,IMPS-620533645257-Isha Kadakia,2516,,86585.15
1718227824,2025/05/29 02:09:16,UPI-DEBIT-659184638655-kritika.brar@okhdfcbank,9018,,60979.15
1718227824,2025/06/08 11:30:46,UPI-DEBIT-827231843222-tripti.yadav@okaxis,7998,,52981.15
1031051834,2025/05/29 16:22:04,NEFT-DEBIT-688457831745-Gavin Batta,2784,,179909.83
1031051834,2025/05/14 04:44:44,UPI-DEBIT-122417974973-devansh.rajan@okaxis,7312,,159986.83
1031051834,2025/06/03 16:38:00,IMPS-427031207356-Gagan Sami,5813,,154173.83
1031051834,2025/05/03 00:55:32,UPI-DEBIT-925132719500-devansh.rajan@okaxis,9620,,142538.83
1031051834,2025/06/01 06:59:03,UPI-DEBIT-273585730652-gagan.sami@paytm,2621,,139917.83
33872624731,2025/05/08 08:45:10,NEFT-DEBIT-689363926495-Gagan Sami,10599,,72015.16
33872624731,2025/06/14 16:47:24,UPI-DEBIT-051728975267-kritika.brar@okhdfcbank,1145,,62916.16
33872624731,2025/06/05 23:08:35,NEFT-DEBIT-680347644726-Gagan Sami,1820,,50723.16
33872624731,2025/06/14 14:45:03,UPI-DEBIT-771812982665-kritika.brar@okhdfcbank,993,,49730.16
33872624731,2025/06/07 08:07:57,UPI-DEBIT-742123094077-isha.kadakia@ybl,940,,39368.16
33872624731,2025/05/03 09:07:32,UPI-DEBIT-249998279501-kritika.brar@okhdfcbank,1884,,28056.16
34309805009,2025/05/15 06:44:59,NEFT-DEBIT-851403696566-Diya Rattan,6022,,61539.85
34309805009,2025/06/11 16:30:47,NEFT-DEBIT-189137189490-Priya Rastogi,3163,,30050.85
34309805009,2025/06/11 11:38:09,NEFT-DEBIT-904712814429-Simon Tata,14472,,13519.85
34309805009,2025/05/03 13:11:38,UPI-DEBIT-478366742860-priya.rastogi@gpay,2845,,13501.85
34309805009,2025/06/08 16:55:56,UPI-DEBIT-801856945441-simon.tata@okaxis,7453,,6048.85
53462475107,2025/06/05 15:20:27,IMPS-579887749242-Upadhriti Wadhwa,7281,,46256.64
53462475107,2025/05/31 23:58:20,IMPS-238055257828-Aarush Lall,6706,,26617.64
53462475107,2025/05/08 03:21:52,UPI-DEBIT-517028140693-diya.rattan@okicici,9360,,16749.64
53462475107,2025/05/18 08:23:37,UPI-DEBIT-398343018718-upadhriti.wadhwa@okicici,1615,,15134.64
118244935348,2025/05/30 11:32:00,NEFT-CREDIT-858800616756-SALARY,,71568,85654.93
118244935348,2025/05/02 14:17:03,IMPS-624671978897-Tripti Yadav,6560,,79094.93
118244935348,2025/05/28 07:04:30,IMPS-969545009025-Isha Kadakia,6150,,72944.93
118244935348,2025/05/29 08:22:15,IMPS-556503334911-Liam Koshy,7121,,65823.93
118244935348,2025/06/08 04:39:46,IMPS-698640790569-Rushil Saini,2161,,63662.93
118244935348,2025/05/14 05:43:56,UPI-CREDIT-820700159416-isha.kadakia@ybl,,2335,47879.93
982620450533,2025/05/01 06:45:49,IMPS-923045018961-Liam Koshy,2887,,80592.02
982620450533,2025/05/13 09:17:14,UPI-DEBIT-266421476492-isha.kadakia@ybl,7916,,72676.02
982620450533,2025/06/07 07:00:02,UPI-DEBIT-810818661794-hemangini.lalla@paytm,6285,,58094.02
982620450533,2025/06/06 10:25:01,NEFT-DEBIT-941680061027-Isha Kadakia,10592,,32909.02
982620450533,2025/05/22 14:46:20,UPI-DEBIT-793349605016-daksh.karnik@oksbi,8047,,9594.02
982620450533,2025/05/01 22:09:34,UPI-DEBIT-146717957602-hemangini.lalla@paytm,7014,,-5640.98
982620450533,2025/06/05 06:05:41,UPI-DEBIT-383959724665-liam.koshy@okaxis,3249,,-8889.98
54330365414586,2025/05/27 23:32:34,NEFT-DEBIT-071569562017-Daksh Karnik,13011,,76234.38
54330365414586,2025/05/07 05:25:04,NEFT-DEBIT-430894870605-Janya Gaba,1263,,72861.38
54330365414586,2025/06/06 15:38:14,IMPS-803046875063-Diya Rattan,7571,,65290.38
54330365414586,2025/06/01 11:21:09,UPI-DEBIT-070496110804-daksh.karnik@oksbi,1483,,58659.38
54330365414586,2025/05/07 16:24:01,UPI-CREDIT-968549822749-ayushman.chander@paytm,,822,68185.38
54330365414586,2025/05/25 01:48:04,UPI-DEBIT-379337563620-janya.gaba@oksbi,3694,,50455.38
56159514846,2025/05/31 09:28:00,NEFT-CREDIT-693859777901-SALARY,,42572,93238.33
56159514846,2025/06/05 16:15:11,UPI-DEBIT-066149828246-gagan.sami@paytm,7201,,-1779.67
38721489513433,2025/05/30 09:03:00,NEFT-CREDIT-859626301367-SALARY,,70060,79382.15
38721489513433,2025/05/28 19:09:46,IMPS-764921518260-Yashica Cherian,587,,72997.15
38721489513433,2025/05/07 06:04:53,NEFT-DEBIT-401184582603-Diya Rattan,14422,,44787.15
38721489513433,2025/06/03 10:31:37,UPI-DEBIT-954296184462-gayathri.chaudry@okicici,749,,41139.15
38721489513433,2025/06/11 01:40:43,UPI-DEBIT-831435989262-priya.rastogi@gpay,4082,,37057.15
38721489513433,2025/05/01 11:29:29,UPI-DEBIT-611284971859-yashica.cherian@okicici,1704,,24145.15
38721489513433,2025/05/27 18:35:35,UPI-DEBIT-256258896792-diya.rattan@okicici,4540,,19605.15
38721489513433,2025/05/01 11:03:55,UPI-DEBIT-226940539672-priya.rastogi@gpay,8514,,11091.15
38721489513433,2025/05/09 00:22:14,UPI-CREDIT-487068277881-priya.rastogi@gpay,,9525,12838.15
17278895798,2025/05/29 08:47:25,NEFT-DEBIT-910933711895-Yashica Cherian,11292,,83368.77
17278895798,2025/05/12 05:58:37,UPI-DEBIT-172722397240-arunima.dugal@ybl,7209,,39727.77
23166587603669,2025/05/14 07:07:22,IMPS-834201654235-Udant Dewan,1421,,74444.16
23166587603669,2025/05/08 07:21:09,NEFT-DEBIT-648072791033-Janya Gaba,3208,,70378.16
23166587603669,2025/06/13 06:07:05,UPI-DEBIT-390550448177-nathaniel.sami@okicici,7721,,62657.16
