account_no,date,particulars,withdrawal_amt,deposit_amt,closing_balance
5136546287,2025/05/01 11:17:00,NEFT-CREDIT-474017939041-SALARY,,39652,81820.89
5136546287,2025/05/10 12:46:48,IMPS-033752133835-Vijay Singh,10730,,58751.89
5136546287,2025/05/29 02:05:43,IMPS-122030010280-Sameer Mukherjee,6489,,
5136546287,2025/05/26 08:15:20,IMPS-917857189533-Sameer Mukherjee,2128,,50134.89
5136546287,2025/06/01 19:23:01,NEFT-DEBIT-178792613556-Kabir Malhotra,7793,,42341.89
47197620058,2025/05/28 11:06:00,NEFT-CREDIT-678428455594-SALARY,,64355,90711.97
47197620058,2025/06/08 08:15:59,UPI-DEBIT-156908529212-imran.bansal@ybl,6229,,68558.97
47197620058,2025/06/09 07:06:26,NEFT-DEBIT-038453125988-Manoj Tiwari,11180,,45249.97
47197620058,2025/05/01 22:27:38,UPI-CREDIT-433043303204-manoj.tiwari@okhdfcbank,,464,36643.97
47197620058,2025/05/13 08:14:30,UPI-CREDIT-720914418125-rohan.chauhan@oksbi,,2827,39470.97
47197620058,2025/05/27 13:54:54,UPI-DEBIT-913127653531-pooja.menon@okaxis,2720,,36750.97
02411006835037,2025/05/29 09:41:00,NEFT-CREDIT-653843068118-SALARY,,70308,79075.96
02411006835037,2025/05/31 10:51:00,NEFT-CREDIT-236497133966-SALARY,,70308,149383.96
02411006835037,2025/05/27 15:11:48,IMPS-565931547514-Zara Thakur,11810,,126842.96
02411006835037,2025/05/31 04:49:18,NEFT-DEBIT-707872631931-Zoya Reddy,12718,,107220.96
02411006835037,2025/06/07 03:26:48,NEFT-DEBIT-976194309672-Sameer Mukherjee,654,,98415.96
02411006835037,2025/06/01 19:18:59,UPI-DEBIT-625761517384-zara.thakur@okicici,14966,,70339.96
02411006835037,2025/06/12 01:00:56,UPI-CREDIT-685557989335-sunita.menon@paytm,,9442,85895.96
02411006835037,2025/06/06 02:49:01,UPI-DEBIT-145319245497-vivaan.rao@oksbi,7071,,75008.96
1688897493,2025/05/21 08:41:22,UPI-DEBIT-755753849640-ramesh.rathore@okicici,1321,,71662.73
1688897493,2025/05/11 10:25:11,NEFT-DEBIT-476815298245-Myra Gupta,225,,68934.73
1688897493,2025/06/12 18:26:02,NEFT-DEBIT-699488185469-Pooja Reddy,356,,53508.73
