MSISDN,PRIVATE_IP,PUBLIC_IP,PORT,SESSION_START,SESSION_END,DEST_IP,DATA_VOLUME_KB
9674769283,192.168.219.196,103.25.38.190,8080,2025-05-26 00:05:13,2025-05-26 01:21:13,50.167.144.183,46152
9674769283,192.168.36.196,103.25.53.110,8080,2025-06-14 08:24:56,2025-06-14 09:01:56,19.81.30.110,34835
9674769283,192.168.199.15,103.25.139.236,80,2025-05-29 03:05:06,2025-05-29 03:20:06,211.171.11.58,49024
9674769283,192.168.222.191,103.25.70.55,443,2025-05-31 13:04:03,2025-05-31 13:24:03,187.158.161.225,34132
9674769283,192.168.215.131,103.25.29.202,443,2025-05-18 08:44:17,2025-05-18 09:30:17,,41447
9674769283,192.168.181.71,103.25.186.66,8080,2025-06-09 11:59:16,2025-06-09 13:45:16,162.75.135.146,23382
9674769283,192.168.204.111,103.25.174.32,80,2025-05-09 06:05:55,2025-05-09 06:41:55,198.47.80.122,29343
9674769283,192.168.195.100,103.25.97.87,443,2025-06-07 22:57:33,2025-06-07 23:46:33,6.129.207.53,9244
9840226879,192.168.156.54,103.25.207.35,8080,2025-05-15 07:39:42,2025-05-15 09:26:42,45.80.234.128,46686
9840226879,192.168.219.195,103.25.45.75,80,2025-05-25 19:08:16,2025-05-25 21:03:16,113.105.227.29,29138
9840226879,192.168.202.220,103.25.77.122,8443,2025-05-17 21:33:23,2025-05-17 23:00:23,102.10.15.129,32646
9840226879,192.168.135.230,103.25.144.38,80,2025-05-07 04:54:25,2025-05-07 06:39:25,111.17.239.84,44913
9840226879,192.168.76.2,103.25.215.208,8080,2025-05-26 18:44:31,2025-05-26 19:59:31,181.120.218.19,45802
9840226879,192.168.195.81,103.25.176.223,8080,2025-06-03 21:09:38,2025-06-03 22:55:38,206.242.136.198,29457
9840226879,192.168.97.32,103.25.203.182,8443,2025-06-11 18:47:50,2025-06-11 18:54:50,88.196.161.42,28801
9840226879,192.168.206.68,103.25.90.224,443,2025-05-21 22:05:59,2025-05-21 23:46:59,120.15.110.16,35533
9840226879,192.168.94.46,103.25.235.54,8080,2025-05-16 08:36:03,2025-05-16 08:53:03,121.18.179.25,9252
9840226879,192.168.253.241,103.25.169.16,8443,2025-06-01 10:59:56,2025-06-01 11:51:56,177.15.132.215,37819
9541565207,192.168.149.120,103.25.216.189,80,2025-05-30 23:26:32,2025-05-31 00:28:32,86.132.254.239,14828
9541565207,192.168.37.122,103.25.189.55,80,2025-05-05 07:17:43,2025-05-05 09:04:43,100.131.244.107,24000
9541565207,192.168.67.153,103.25.94.126,8443,2025-05-12 02:06:03,2025-05-12 02:31:03,215.38.125.109,21034
9541565207,192.168.36.110,103.25.209.159,80,2025-06-11 04:48:58,2025-06-11 06:27:58,72.184.43.159,25318
9541565207,192.168.235.16,103.25.59.22,80,2025-06-11 00:38:31,2025-06-11 01:56:31,95.24.36.251,11399
9541565207,192.168.96.101,103.25.94.221,8443,2025-05-15 15:41:54,2025-05-15 16:20:54,33.85.64.42,46765
9541565207,192.168.206.95,103.25.21.153,80,2025-05-05 18:01:26,2025-05-05 19:40:26,213.196.154.161,42611
9541565207,192.168.134.34,103.25.47.33,443,2025-06-05 10:45:15,2025-06-05 12:11:15,94.19.96.233,2853
9541565207,192.168.86.112,103.25.126.139,8443,2025-06-01 08:25:17,2025-06-01 09:35:17,105.39.251.195,16378
9541565207,192.168.96.114,103.25.230.137,80,2025-06-11 17:02:49,2025-06-11 17:32:49,19.83.69.154,14664
9541565207,192.168.232.72,103.25.52.247,443,2025-05-13 10:08:31,2025-05-13 10:37:31,220.204.25.232,10080
9541565207,192.168.135.136,103.25.76.180,443,2025-05-13 06:39:18,2025-05-13 07:04:18,7.31.69.145,2271
9541565207,192.168.2.249,103.25.243.162,443,2025-05-30 01:20:17,2025-05-30 02:56:17,37.247.2.173,19934
9728788537,192.168.189.146,103.25.241.79,443,2025-05-10 18:49:36,2025-05-10 20:05:36,33.13.75.14,13198
9728788537,192.168.210.16,103.25.95.80,8080,2025-05-28 19:26:29,2025-05-28 21:19:29,51.36.86.95,39491
9728788537,192.168.132.179,103.25.24.212,8443,2025-05-12 14:13:19,2025-05-12 14:19:19,12.215.114.224,4437
9728788537,192.168.186.200,103.25.29.107,80,2025-05-10 22:11:03,2025-05-10 23:41:03,130.13.55.33,14843
9728788537,192.168.201.104,103.25.192.47,8080,2025-06-09 20:58:45,2025-06-09 22:11:45,220.101.144.70,48509
9728788537,192.168.178.37,103.25.26.44,443,2025-05-24 13:11:44,2025-05-24 14:55:44,160.54.229.124,29141
9728788537,192.168.127.192,103.25.137.92,8080,2025-05-15 04:22:42,2025-05-15 04:30:42,138.64.43.219,6541
9728788537,192.168.5.232,103.25.58.208,8080,2025-05-24 13:25:15,2025-05-24 15:20:15,112.181.81.19,11368
9790337127,192.168.161.111,103.25.178.62,443,2025-06-13 21:10:51,2025-06-13 22:48:51,186.26.23.62,3165
9790337127,192.168.182.189,103.25.197.149,80,2025-05-05 03:58:40,2025-05-05 05:46:40,122.203.175.64,47006
9790337127,192.168.151.138,103.25.176.73,80,2025-05-07 07:08:05,2025-05-07 08:33:05,53.198.67.175,33525
9790337127,192.168.90.126,103.25.199.148,8443,2025-05-26 18:26:04,2025-05-26 19:51:04,167.30.239.163,37828
9790337127,192.168.77.75,103.25.179.182,8080,2025-05-26 04:19:50,2025-05-26 04:36:50,15.151.175.250,42511
9790337127,192.168.183.105,103.25.34.229,8443,2025-05-06 02:21:17,2025-05-06 03:07:17,188.123.3.165,12692
9790337127,192.168.200.233,103.25.96.39,8443,2025-05-19 17:36:27,2025-05-19 19:31:27,213.19.92.20,47755
9790337127,192.168.223.68,103.25.6.254,80,2025-05-20 17:37:58,2025-05-20 18:35:58,92.165.35.6,26860
9790337127,192.168.151.75,103.25.152.201,443,2025-05-01 17:19:06,2025-05-01 18:14:06,115.224.212.156,20678
9790337127,192.168.135.83,103.25.127.208,443,2025-05-29 06:46:35,2025-05-29 08:20:35,118.123.241.235,19970
9790337127,192.168.153.243,103.25.27.29,8080,2025-05-02 16:37:43,2025-05-02 18:22:43,182.180.217.176,37911
9790337127,192.168.197.214,103.25.61.98,8080,2025-05-24 10:55:02,2025-05-24 12:49:02,120.242.11.65,3418
9790337127,192.168.188.99,103.25.242.114,8443,2025-05-25 21:27:37,2025-05-25 23:11:37,60.247.210.155,45006
9790337127,192.168.13.45,103.25.254.176,80,2025-05-12 14:18:21,2025-05-12 15:37:21,196.155.235.201,19628
