account_no,date,particulars,withdrawal_amt,deposit_amt,closing_balance
42302556260,2025/05/29 11:09:00,NEFT-CREDIT-679392876776-SALARY,,36677,57018.13
42302556260,2025/05/11 19:33:33,IMPS-451934415259-Saanvi Saxena,5983,,16360.13
42302556260,2025/05/20 00:42:56,UPI-DEBIT-195544399726-zeeshan.sheikh@paytm,2047,,
42302556260,2025/06/14 03:54:09,UPI-DEBIT-182979017776-aarohi.iyer@okicici,6155,,-11377.87
42302556260,2025/06/02 06:20:22,UPI-DEBIT-785630367786-sunita.tiwari@gpay,6178,,-17555.87
69816684589152,2025/06/03 15:19:16,NEFT-DEBIT-400081263200-Vikram Malik,5559,,45479.58
69816684589152,2025/05/05 12:19:35,UPI-DEBIT-378974929723-sunita.tiwari@gpay,3648,,31806.58
46327549193114,2025/05/29 11:35:00,NEFT-CREDIT-692016641604-SALARY,,53079,97401.51
46327549193114,2025/05/13 00:29:33,NEFT-DEBIT-616246987611-Zeeshan Sheikh,1287,,83207.51
46327549193114,2025/06/02 02:29:03,UPI-DEBIT-202337595210-yash.banerjee@gpay,7840,,72323.51
46327549193114,2025/06/01 00:47:16,UPI-DEBIT-429729867334-kabir.iyer@oksbi,6958,,65365.51
46327549193114,2025/06/10 11:03:39,UPI-CREDIT-436363597475-yash.banerjee@gpay,,9193,65929.51
46327549193114,2025/06/11 08:43:08,UPI-DEBIT-202855309127-zeeshan.sheikh@paytm,9329,,56600.51
00980853110,2025/05/28 12:25:00,NEFT-CREDIT-713332627225-SALARY,,33244,69115.61
00980853110,2025/05/11 22:57:10,UPI-DEBIT-438268680287-vihaan.thakur@gpay,362,,90291.61
00980853110,2025/06/14 12:18:50,IMPS-370169553927-Aditya Jain,11179,,77946.61
00980853110,2025/06/07 00:12:56,NEFT-DEBIT-575597185741-Aditya Jain,1862,,61481.61
617017843479,2025/05/30 00:33:49,NEFT-DEBIT-664164912785-Anaya Agarwal,13567,,133752.07
617017843479,2025/05/10 21:32:41,IMPS-151834706590-Vikram Malik,7989,,125763.07
617017843479,2025/05/26 21:37:36,UPI-DEBIT-663052493550-vikram.malik@paytm,2713,,88137.07
617017843479,2025/06/12 04:56:40,UPI-DEBIT-524908406923-anaya.agarwal@gpay,4858,,81148.07
9821238539,2025/06/13 03:22:53,NEFT-DEBIT-572535277685-Saanvi Dubey,1633,,34378.67
9821238539,2025/06/03 23:36:12,UPI-DEBIT-364556501050-sunita.tiwari@gpay,2135,,31476.67
9821238539,2025/06/07 12:38:26,UPI-DEBIT-265730558287-ashok.bhatt@paytm,13711,,17765.67
9821238539,2025/06/11 18:02:15,UPI-DEBIT-053196800282-zara.dubey@paytm,9830,,7935.67
39884020283350,2025/06/04 06:22:14,NEFT-DEBIT-498720026407-Aarohi Iyer,7480,,87361.89
39884020283350,2025/06/13 11:36:04,IMPS-968639901264-Seema Sharma,11930,,67756.89
39884020283350,2025/05/31 04:55:30,UPI-DEBIT-113289080936-seema.sharma@okhdfcbank,637,,67119.89
39884020283350,2025/05/02 00:40:04,UPI-DEBIT-540605704767-vinod.banerjee@oksbi,5192,,61927.89
887177551319,2025/05/11 00:30:15,NEFT-DEBIT-727414758824-Anita Khanna,5121,,137058.4
887177551319,2025/05/07 05:08:27,UPI-DEBIT-337755143621-geeta.joshi@paytm,5441,,130797.4
887177551319,2025/06/10 07:17:47,UPI-DEBIT-814195659186-anita.khanna@paytm,1613,,129184.4
887177551319,2025/06/12 04:22:50,IMPS-439883902982-Geeta Joshi,12844,,105385.4
887177551319,2025/05/24 05:55:18,UPI-CREDIT-447555026491-aarohi.iyer@okicici,,1427,102283.4
29414200013,2025/05/01 10:33:00,NEFT-CREDIT-406390579769-SALARY,,45324,51891.33
29414200013,2025/05/11 17:46:58,IMPS-297361160441-Ayaan Rao,5990,,45901.33
29414200013,2025/06/06 17:24:15,UPI-DEBIT-657263062189-pooja.dubey@ybl,13800,,9241.33
29414200013,2025/05/19 09:40:25,UPI-DEBIT-246925977023-aditya.jain@okhdfcbank,3008,,16591.33
527546250878,2025/05/16 00:48:57,IMPS-690056897519-Pooja Dubey,13239,,78578.11
527546250878,2025/05/12 01:41:22,IMPS-281052051272-Aarohi Iyer,6343,,72235.11
527546250878,2025/05/11 23:17:40,IMPS-274595208962-Aarohi Iyer,6027,,64290.11
527546250878,2025/06/09 13:30:27,UPI-DEBIT-185887459349-vikram.malik@paytm,2940,,55102.11
527546250878,2025/06/13 21:43:41,UPI-DEBIT-558475554550-zara.dubey@paytm,8633,,46469.11
527546250878,2025/06/03 11:09:43,NEFT-DEBIT-578080670238-Diya Joshi,581,,31299.11
527546250878,2025/05/17 01:36:34,UPI-CREDIT-811421295665-aarohi.iyer@okicici,,2748,26764.11
527546250878,2025/05/05 16:33:55,UPI-DEBIT-213542237870-vikram.malik@paytm,8176,,6471.11
430362602371,2025/05/31 08:48:00,NEFT-CREDIT-909571519276-SALARY,,48153,131973.97
430362602371,2025/05/30 20:00:44,IMPS-385306859025-Zoya Mukherjee,8156,,117726.97
430362602371,2025/06/06 21:56:24,NEFT-DEBIT-605260280227-Saanvi Saxena,2733,,75147.97
430362602371,2025/05/03 19:35:27,UPI-DEBIT-320390629805-shaurya.nair@paytm,7383,,40839.97
4822887428,2025/05/30 09:28:00,NEFT-CREDIT-718372623924-SALARY,,65847,98062.57
4822887428,2025/05/22 13:59:34,NEFT-DEBIT-508929044044-Sameer Pandey,2422,,75253.57
4822887428,2025/06/08 20:08:31,UPI-DEBIT-999532829865-saanvi.dubey@gpay,1323,,73930.57
4822887428,2025/06/09 17:11:03,IMPS-730348612170-Advait Shukla,4009,,69921.57
4822887428,2025/06/14 08:41:02,UPI-DEBIT-220541599808-ramesh.kumar@okaxis,7216,,38545.57
4822887428,2025/06/02 11:03:42,UPI-DEBIT-141462039903-ramesh.kumar@okaxis,150,,38395.57
4822887428,2025/06/02 16:36:54,UPI-DEBIT-950781094591-saanvi.dubey@gpay,6584,,31811.57
38627641596747,2025/05/31 12:46:00,NEFT-CREDIT-700273500062-SALARY,,39099,85906.87
38627641596747,2025/05/07 22:57:04,NEFT-DEBIT-103076757829-Ishaan Bhatt,1542,,84364.87
38627641596747,2025/06/14 00:10:43,NEFT-DEBIT-636161905820-Vinod Banerjee,13496,,52410.87
38627641596747,2025/05/29 02:12:40,UPI-DEBIT-206226199025-ishaan.bhatt@okicici,2995,,29684.87
38627641596747,2025/05/08 04:08:58,UPI-DEBIT-298654228376-vinod.banerjee@oksbi,7399,,26307.87
476526009813,2025/06/14 22:21:51,NEFT-DEBIT-152967860128-Zoya Mukherjee,7897,,48377.58
476526009813,2025/06/01 13:48:58,IMPS-310580366779-Zoya Mukherjee,1786,,46591.58
242984835596,2025/05/30 08:39:00,NEFT-CREDIT-517188471043-SALARY,,59126,105179.89
242984835596,2025/05/07 13:34:48,UPI-DEBIT-666445416475-aditi.mukherjee@okhdfcbank,242,,104937.89
242984835596,2025/05/31 16:35:47,IMPS-676238778143-Anil Mehta,3497,,77895.89
242984835596,2025/06/07 22:34:34,IMPS-730751204423-Naresh Tiwari,5468,,72427.89
242984835596,2025/06/12 16:45:04,NEFT-DEBIT-333381065128-Ayaan Rao,6117,,66310.89
242984835596,2025/05/28 16:32:47,UPI-DEBIT-542014160710-sameer.pandey@okicici,1916,,51361.89
242984835596,2025/05/11 20:18:55,UPI-DEBIT-882682316392-vihaan.thakur@gpay,6708,,35834.89
242984835596,2025/05/15 03:47:00,UPI-DEBIT-089961572766-aditi.mukherjee@okhdfcbank,6033,,29801.89
9215453184,2025/05/27 05:19:41,UPI-DEBIT-771068398264-naresh.tiwari@ybl,6481,,46918.15
9215453184,2025/05/21 15:43:27,IMPS-204258978024-Naresh Tiwari,12079,,34839.15
9215453184,2025/05/04 09:40:13,NEFT-DEBIT-743571131035-Zoya Mukherjee,2055,,32784.15
9215453184,2025/05/17 12:13:01,UPI-DEBIT-793200484340-rekha.bhatt@okaxis,3639,,29145.15
9215453184,2025/06/09 21:54:26,IMPS-411319008759-Ramesh Kumar,10792,,18353.15
9215453184,2025/05/14 21:33:48,UPI-CREDIT-559856705613-zoya.mukherjee@gpay,,4488,3837.15
9215453184,2025/06/13 00:56:50,UPI-DEBIT-790358911092-zoya.mukherjee@gpay,6511,,8080.15
99390404961475,2025/05/28 12:04:00,NEFT-CREDIT-015540101011-SALARY,,79933,89703.33
99390404961475,2025/05/23 19:35:25,UPI-DEBIT-071964431371-zoya.mukherjee@gpay,5988,,158731.33
99390404961475,2025/06/05 03:02:53,NEFT-DEBIT-386616874672-Sunita Tiwari,3297,,152346.33
99390404961475,2025/05/31 19:00:30,IMPS-103291920565-Saanvi Saxena,4305,,148041.33
99390404961475,2025/05/09 04:20:56,UPI-DEBIT-159307526492-sunita.tiwari@gpay,9336,,138705.33
99390404961475,2025/06/05 04:35:58,UPI-DEBIT-100927361196-zoya.mukherjee@gpay,8635,,125381.33
02952058288703,2025/05/30 12:10:00,NEFT-CREDIT-531657284910-SALARY,,47926,81011.42
02952058288703,2025/06/13 05:48:08,UPI-DEBIT-828855721351-meera.das@paytm,2422,,47843.42
02952058288703,2025/05/01 18:01:05,UPI-DEBIT-929375304213-vijay.tiwari@okhdfcbank,7419,,40424.42
02952058288703,2025/05/29 13:21:24,UPI-CREDIT-058626415273-meera.das@paytm,,9097,49521.42
691570177534,2025/05/30 09:34:00,NEFT-CREDIT-884827662455-SALARY,,74314,113755.16
691570177534,2025/05/23 08:14:32,UPI-DEBIT-043679820321-rudra.qureshi@paytm,4554,,183515.16
691570177534,2025/05/01 12:26:25,UPI-DEBIT-413998707367-rudra.qureshi@paytm,2499,,181016.16
691570177534,2025/06/03 10:38:02,NEFT-DEBIT-805981686733-Ramesh Kumar,6795,,149911.16
691570177534,2025/06/10 19:25:15,UPI-CREDIT-340095749577-rajesh.malik@gpay,,7401,141821.16
691570177534,2025/05/04 13:02:54,UPI-DEBIT-458669699943-rajesh.malik@gpay,1511,,140310.16
87367145293939,2025/05/30 08:07:00,NEFT-CREDIT-677308220156-SALARY,,67896,82113.14
87367145293939,2025/05/27 15:44:13,IMPS-124549369728-Meera Das,3913,,78200.14
87367145293939,2025/05/13 21:08:54,UPI-DEBIT-301218364652-ramesh.kumar@okaxis,7440,,69801.14
87367145293939,2025/06/14 01:30:35,NEFT-DEBIT-022739480229-Meera Das,6834,,59142.14
87367145293939,2025/05/21 19:47:17,UPI-DEBIT-939604409695-ramesh.kumar@okaxis,1007,,56057.14
490787319628,2025/05/05 17:26:35,UPI-DEBIT-967111656656-anaya.agarwal@gpay,960,,67446.72
490787319628,2025/05/05 16:59:03,NEFT-DEBIT-218647798468-Diya Joshi,10688,,56758.72
490787319628,2025/06/06 17:15:35,UPI-DEBIT-182083855479-zara.dubey@paytm,2324,,36211.72
490787319628,2025/06/10 09:22:18,NEFT-DEBIT-068183826602-Anaya Agarwal,1751,,33322.72
490787319628,2025/06/02 06:43:19,UPI-CREDIT-822424868343-diya.joshi@oksbi,,1226,34198.72
52227717820587,2025/05/15 03:53:33,IMPS-227231744294-Ashok Bhatt,2904,,37162.42
52227717820587,2025/06/14 19:45:47,UPI-CREDIT-405705475176-ashok.bhatt@paytm,,257,2673.42
858575448806,2025/05/01 12:46:00,NEFT-CREDIT-595704346479-SALARY,,74478,107206.44
858575448806,2025/05/23 08:50:06,IMPS-844879250416-Kabir Iyer,1729,,96558.44
858575448806,2025/06/01 01:09:49,UPI-DEBIT-662306296698-zara.sharma@okhdfcbank,13701,,74533.44
858575448806,2025/06/06 03:10:19,UPI-DEBIT-888427312137-anil.mehta@oksbi,652,,61955.44
858575448806,2025/05/05 02:10:56,UPI-DEBIT-219041450923-ishaan.bhatt@okicici,7241,,54714.44
858575448806,2025/05/18 11:09:54,UPI-DEBIT-903088423061-vijay.tiwari@okhdfcbank,2709,,52005.44
658509372683,2025/05/31 09:57:00,NEFT-CREDIT-234213406424-SALARY,,66045,155478.84
658509372683,2025/05/21 02:27:53,UPI-DEBIT-444566881494-seema.sharma@okhdfcbank,633,,144929.84
658509372683,2025/05/03 04:10:44,NEFT-DEBIT-368039872054-Rekha Bhatt,4386,,140543.84
658509372683,2025/06/11 20:31:54,UPI-CREDIT-626989321558-aditi.mukherjee@okhdfcbank,,3147,118425.84
3642701041,2025/05/28 10:51:00,NEFT-CREDIT-311311268479-SALARY,,65908,78474.18
3642701041,2025/05/23 12:37:44,IMPS-439032265543-Aditya Jain,2783,,75285.18
3642701041,2025/05/02 17:55:35,IMPS-177734695694-Seema Sharma,1507,,72709.18
3642701041,2025/06/11 03:20:14,IMPS-402892882923-Pooja Dubey,6042,,64660.18
3642701041,2025/06/01 07:05:12,IMPS-162390889545-Aarohi Iyer,1403,,63257.18
3642701041,2025/06/12 10:10:16,NEFT-DEBIT-282978053529-Saanvi Saxena,4489,,52050.18
3642701041,2025/05/02 04:03:26,UPI-DEBIT-309119256555-zara.dubey@paytm,4539,,53611.18
965996035267,2025/05/08 17:50:55,NEFT-DEBIT-500084027823-Zoya Mukherjee,13851,,44337.29
965996035267,2025/05/07 13:20:40,IMPS-126166844239-Anaya Agarwal,7958,,24820.29
965996035267,2025/06/13 20:42:02,NEFT-DEBIT-468390740922-Rudra Qureshi,8118,,16702.29
965996035267,2025/06/05 09:23:35,IMPS-580099556212-Zara Dubey,5488,,4950.29
965996035267,2025/05/08 15:34:35,UPI-DEBIT-983772623836-sameer.pandey@okicici,4286,,-3167.71
965996035267,2025/05/02 07:58:36,UPI-DEBIT-662711755889-anita.khanna@paytm,4597,,-5290.71
84152820884029,2025/05/15 16:34:17,IMPS-648167980024-Pooja Dubey,6937,,61431.74
84152820884029,2025/06/12 17:29:40,NEFT-DEBIT-915281191757-Aditi Mukherjee,1622,,55679.74
84152820884029,2025/06/03 01:37:13,UPI-DEBIT-740147662069-riya.pillai@okhdfcbank,7031,,23694.74
84152820884029,2025/05/30 13:18:41,UPI-DEBIT-806024723763-aditi.mukherjee@okhdfcbank,7597,,16674.74
84152820884029,2025/06/11 10:02:58,UPI-DEBIT-195948777468-riya.pillai@okhdfcbank,7984,,9229.74
4092616241,2025/05/28 05:41:17,UPI-DEBIT-364246518642-vihaan.thakur@gpay,2570,,58189.37
4092616241,2025/06/08 01:43:35,UPI-DEBIT-991226206437-vihaan.thakur@gpay,1027,,44011.37
4092616241,2025/06/06 22:08:44,UPI-CREDIT-707652536169-sameer.pandey@okicici,,3561,36254.37
4092616241,2025/05/12 12:01:25,UPI-DEBIT-442280578178-vihaan.thakur@gpay,9842,,26412.37
3875935245,2025/05/28 12:11:00,NEFT-CREDIT-952499652064-SALARY,,75887,82581.7
3875935245,2025/05/03 07:50:07,UPI-DEBIT-151062757195-vijay.tiwari@okhdfcbank,8791,,149677.7
3875935245,2025/06/05 05:54:37,IMPS-139961752462-Vijay Tiwari,1378,,132593.7
3875935245,2025/05/25 23:54:50,UPI-CREDIT-898942604535-zeeshan.sheikh@paytm,,3410,134110.7
3875935245,2025/05/15 10:47:27,UPI-CREDIT-055749966936-rudra.qureshi@paytm,,5450,133752.7
3875935245,2025/06/03 09:29:12,UPI-DEBIT-795226117081-anita.khanna@paytm,1475,,140121.7
3875935245,2025/06/11 18:30:57,UPI-CREDIT-847603360458-zara.dubey@paytm,,8541,148662.7
29193620681999,2025/05/05 17:03:42,NEFT-DEBIT-748143091884-Advait Shukla,545,,106156.06
29193620681999,2025/05/08 23:08:07,IMPS-133969835466-Rajesh Malik,12014,,88406.06
29193620681999,2025/06/08 22:28:55,NEFT-DEBIT-260315620756-Anita Khanna,1502,,86904.06
29193620681999,2025/06/02 08:35:47,UPI-DEBIT-401775266995-seema.sharma@okhdfcbank,5279,,81625.06
29193620681999,2025/06/10 03:40:04,NEFT-DEBIT-845656705708-Rajesh Malik,9881,,71744.06
29193620681999,2025/06/09 09:08:06,UPI-DEBIT-437328893750-rajesh.malik@gpay,6596,,65148.06
29193620681999,2025/05/04 23:21:18,UPI-DEBIT-661252731625-zara.dubey@paytm,5255,,64154.06
29193620681999,2025/06/02 16:57:39,UPI-CREDIT-944994209978-sunita.tiwari@gpay,,818,64972.06
29193620681999,2025/06/13 13:04:08,UPI-DEBIT-177490370952-rajesh.malik@gpay,3458,,58456.06
59296557171302,2025/05/19 20:51:42,NEFT-DEBIT-727536238101-Ashok Bhatt,5825,,92026.96
59296557171302,2025/05/13 23:36:30,IMPS-998859169940-Vikram Malik,5811,,86215.96
59296557171302,2025/06/13 10:37:10,IMPS-935374361919-Zoya Mukherjee,842,,67618.96
59296557171302,2025/05/27 10:03:43,UPI-CREDIT-343987090736-seema.sharma@okhdfcbank,,2254,61685.96
59296557171302,2025/06/01 21:19:53,UPI-CREDIT-110401936426-zeeshan.sheikh@paytm,,3736,62244.96
59296557171302,2025/05/03 17:55:36,UPI-DEBIT-791232731786-ashok.bhatt@paytm,6471,,52209.96
99365223133248,2025/05/29 09:14:00,NEFT-CREDIT-018083692616-SALARY,,38357,59637.39
99365223133248,2025/05/04 19:25:38,NEFT-DEBIT-261331069553-Zara Sharma,6956,,43905.39
99365223133248,2025/05/21 21:03:12,UPI-DEBIT-563671807726-kabir.iyer@oksbi,457,,20836.39
99365223133248,2025/05/15 08:14:29,UPI-DEBIT-630522450571-meera.das@paytm,1994,,18842.39
62098477144,2025/05/28 09:57:00,NEFT-CREDIT-951836022116-SALARY,,37946,85548.56
62098477144,2025/06/08 00:49:11,UPI-DEBIT-002271450652-sameer.pandey@okicici,11302,,32300.56
62098477144,2025/06/11 09:12:51,UPI-CREDIT-267516230710-vihaan.thakur@gpay,,8672,34548.56
62098477144,2025/05/08 09:43:55,UPI-DEBIT-143729074857-sameer.pandey@okicici,1931,,32617.56
45276439319575,2025/05/28 11:55:00,NEFT-CREDIT-772142748637-SALARY,,47802,57736.79
45276439319575,2025/05/14 07:15:27,IMPS-141270508393-Zoya Mukherjee,5959,,23468.79
45276439319575,2025/06/01 18:50:34,NEFT-DEBIT-832540939621-Pooja Dubey,6096,,3972.79
45276439319575,2025/05/20 18:46:56,UPI-DEBIT-846891502004-rekha.bhatt@okaxis,3235,,206.79
45276439319575,2025/05/22 19:59:07,UPI-DEBIT-362505846189-aarohi.das@paytm,9544,,-14075.21
45276439319575,2025/05/16 08:25:46,UPI-DEBIT-794500651057-rekha.bhatt@okaxis,5222,,-19297.21
45276439319575,2025/05/11 16:38:23,UPI-DEBIT-352661719235-meera.das@paytm,3999,,-23296.21
45276439319575,2025/06/14 06:48:14,UPI-DEBIT-320099832642-vijay.tiwari@okhdfcbank,9726,,-33481.21
56104608402786,2025/06/05 05:56:31,UPI-DEBIT-370705909528-yash.banerjee@gpay,12396,,89396.93
56104608402786,2025/06/01 11:23:17,IMPS-359684482189-Ashok Bhatt,9190,,74821.93
89180777386702,2025/05/06 07:24:17,UPI-DEBIT-333726124102-sunita.tiwari@gpay,4302,,170077.99
89180777386702,2025/06/12 11:55:54,NEFT-DEBIT-109348901030-Kabir Chowdhury,2230,,151177.99
89180777386702,2025/05/10 00:10:36,UPI-DEBIT-236615445675-aditi.mukherjee@okhdfcbank,4682,,138419.99
89180777386702,2025/05/29 03:27:27,UPI-DEBIT-116969914511-sunita.tiwari@gpay,6790,,130790.99
89180777386702,2025/06/13 04:00:47,UPI-DEBIT-589968965899-sunita.tiwari@gpay,3161,,111249.99
229056020496,2025/05/07 18:28:06,NEFT-DEBIT-059038984800-Aditi Mukherjee,11523,,76180.95
229056020496,2025/05/23 00:37:18,NEFT-DEBIT-083569319080-Aditi Mukherjee,4399,,69127.95
229056020496,2025/06/05 13:59:42,UPI-DEBIT-734364301190-rekha.bhatt@okaxis,9025,,60102.95
229056020496,2025/06/03 13:35:34,UPI-DEBIT-870746775854-kabir.chowdhury@paytm,2120,,36837.95
229056020496,2025/06/10 13:39:28,UPI-DEBIT-548567053051-kabir.chowdhury@paytm,3576,,33261.95
229056020496,2025/05/10 17:19:29,UPI-DEBIT-150152783445-kabir.chowdhury@paytm,3259,,30002.95
229056020496,2025/06/06 03:25:37,UPI-DEBIT-615304720348-rekha.bhatt@okaxis,5659,,21106.95
75578745288,2025/06/13 14:10:16,NEFT-DEBIT-340659905024-Aarohi Das,10360,,61138.46
75578745288,2025/06/13 05:39:25,IMPS-458860888182-Riya Pillai,7791,,44620.46
75578745288,2025/05/15 18:26:29,UPI-DEBIT-999615529110-vijay.tiwari@okhdfcbank,769,,25109.46
93531383562890,2025/05/14 15:42:06,IMPS-837903336849-Vikram Malik,6616,,21759.23
93531383562890,2025/06/10 02:45:55,IMPS-466397145927-Vikram Malik,957,,6423.23
93531383562890,2025/05/19 02:39:39,UPI-DEBIT-585193323694-anita.khanna@paytm,3163,,-12058.77
903774649404,2025/05/30 10:09:00,NEFT-CREDIT-499553669421-SALARY,,39885,74925.26
903774649404,2025/06/03 23:15:24,UPI-CREDIT-358523779768-aditya.jain@okhdfcbank,,8268,48880.26
96029460784,2025/05/29 09:00:00,NEFT-CREDIT-849868337527-EXTERNAL SOURCE,,300000,308842.64
96029460784,2025/05/29 10:17:00,UPI-DEBIT-010455910267-sunita.tiwari@gpay,257401,,6796.07
9215453184,2025/05/29 10:17:37,UPI-CREDIT-150743732172-sunita.joshi@okicici,,257401,272259.64
9215453184,2025/05/29 12:22:00,UPI-DEBIT-186771743127-diya.joshi@oksbi,233913,,1494.77
99390404961475,2025/05/29 12:22:52,UPI-CREDIT-422960301511-sunita.tiwari@gpay,,233913,264890.43
99390404961475,2025/05/29 14:17:00,UPI-DEBIT-370824464346-anaya.agarwal@gpay,201853,,8735.72
4822887428,2025/05/29 14:17:35,UPI-CREDIT-305327002355-diya.joshi@oksbi,,201853,234222.04
4822887428,2025/05/29 18:13:00,UPI-DEBIT-162338240317-sunita.joshi@okicici,177630,,776.98
567955923150,2025/05/21 01:43:53,UPI-DEBIT-115599249707-zoya.mukherjee,4718,,-2197.39
567955923150,2025/05/22 18:49:43,UPI-DEBIT-709124350727-meera.das,4491,,-7635.39
9249777155,2025/05/31 17:12:00,UPI-DEBIT-030482166696-vikram.malik@paytm,49320,,22747.31
61089446866,2025/05/19 10:12:09,UPI-DEBIT-698759785246-zoya.mukherjee,3404,,10583.57
61089446866,2025/05/18 08:09:14,UPI-DEBIT-535316107637-zoya.mukherjee,264,,10319.57
61089446866,2025/05/02 00:15:52,UPI-DEBIT-610245485946-anil.mehta,3597,,5893.57
61089446866,2025/05/25 02:14:42,UPI-DEBIT-422401815636-advait.shukla,3510,,2383.57
61089446866,2025/05/31 18:00:00,IMPS-649936517840-UNKNOWN,,94244,96627.57
61089446866,2025/05/31 19:42:00,UPI-DEBIT-119747587966-advait.shukla@gpay,49541,,47086.57
42302556260,2025/06/02 06:20:22,UPI-DEBIT-785630367786-sunita.tiwari@gpay,6178,,-17555.87
