MSISDN,PRIVATE_IP,PUBLIC_IP,PORT,SESSION_START,SESSION_END,DEST_IP,DATA_VOLUME_KB
9781009722,192.168.246.136,103.25.49.89,8443,2025-06-07 15:35:14,2025-06-07 15:53:14,143.206.173.188,18739
9781009722,192.168.50.198,103.25.105.142,8080,2025-05-27 16:03:09,2025-05-27 16:12:09,46.212.20.238,49172
9781009722,192.168.115.122,103.25.107.75,8080,2025-05-23 03:05:54,2025-05-23 04:43:54,185.200.1.93,32564
9781009722,192.168.128.196,103.25.233.246,80,2025-06-07 15:25:24,2025-06-07 17:11:24,108.3.229.3,41061
9781009722,192.168.206.89,103.25.191.48,80,2025-05-12 20:44:54,2025-05-12 21:59:54,,16315
9781009722,192.168.45.79,103.25.213.75,8443,2025-06-08 02:29:58,2025-06-08 04:04:58,206.105.154.165,43019
9781009722,192.168.103.183,103.25.140.85,80,2025-05-29 14:07:52,2025-05-29 14:16:52,153.83.15.235,34962
9781009722,192.168.130.163,103.25.182.240,443,2025-05-29 06:39:40,2025-05-29 08:30:40,91.145.161.200,25971
9781009722,192.168.88.222,103.25.6.82,443,2025-05-30 10:38:25,2025-05-30 10:43:25,161.176.219.178,8028
9781009722,192.168.21.114,103.25.136.86,443,2025-05-19 23:45:07,2025-05-20 00:29:07,161.212.230.54,25636
9781009722,192.168.209.233,103.25.70.51,8080,2025-06-03 06:56:01,2025-06-03 08:12:01,84.66.131.113,5289
9781009722,192.168.79.249,103.25.13.226,80,2025-06-05 12:59:10,2025-06-05 13:58:10,95.216.228.85,21641
9781009722,192.168.9.239,103.25.116.73,443,2025-06-03 01:42:32,2025-06-03 02:11:32,172.181.229.110,25586
9781009722,192.168.59.18,103.25.5.192,8443,2025-05-23 06:36:56,2025-05-23 08:34:56,173.194.130.203,46591
9781009722,192.168.159.12,103.25.168.133,80,2025-05-18 16:28:11,2025-05-18 18:15:11,87.7.176.203,11948
9781009722,192.168.33.173,103.25.74.71,8443,2025-05-27 07:13:21,2025-05-27 07:29:21,65.142.43.181,1115
9781009722,192.168.15.15,103.25.51.229,443,2025-06-09 19:34:37,2025-06-09 20:31:37,89.65.115.115,27952
9781009722,192.168.90.71,103.25.88.194,443,2025-05-08 12:55:31,2025-05-08 14:51:31,86.200.58.226,24676
9781009722,192.168.242.56,103.25.92.112,8443,2025-05-09 10:29:56,2025-05-09 11:49:56,85.147.242.83,4502
9781009722,192.168.242.51,103.25.82.40,8080,2025-05-13 23:24:31,2025-05-14 00:14:31,111.183.148.140,41257
9610143038,192.168.127.222,103.25.18.37,8080,2025-05-23 18:18:47,2025-05-23 19:21:47,70.82.82.56,6781
9610143038,192.168.2.173,103.25.221.160,80,2025-05-21 13:30:30,2025-05-21 13:53:30,196.86.112.101,30001
9610143038,192.168.204.35,103.25.20.254,80,2025-05-17 22:29:06,2025-05-18 00:13:06,35.211.154.138,1307
9610143038,192.168.188.207,103.25.93.165,8080,2025-06-04 15:19:00,2025-06-04 16:37:00,14.177.25.203,1297
9610143038,192.168.29.186,103.25.7.91,80,2025-05-30 20:46:54,2025-05-30 22:05:54,102.106.35.173,45306
