account_no,date,particulars,withdrawal_amt,deposit_amt,closing_balance
46907020182743,2025/05/25 12:03:40,NEFT-DEBIT-097551193338-Ramesh Yadav,13680,,86611.59
46907020182743,2025/05/31 08:33:49,UPI-DEBIT-244141924331-anaya.malhotra@oksbi,6968,,77927.59
46907020182743,2025/05/12 15:26:57,UPI-DEBIT-928576018963-neha.jain@okicici,3163,,
46907020182743,2025/05/26 09:48:59,UPI-CREDIT-353594584867-neha.sen@okicici,,1882,57776.59
4498494148,2025/05/09 00:17:46,NEFT-DEBIT-217316227808-Vivaan Pillai,12361,,140070.32
4498494148,2025/05/26 09:17:24,NEFT-DEBIT-762157121095-Neha Sen,2470,,137600.32
4498494148,2025/06/10 17:05:22,NEFT-DEBIT-985515767093-Neha Sen,14132,,123468.32
4498494148,2025/05/29 10:25:12,UPI-DEBIT-315749768126-ajay.sen@paytm,2133,,89831.32
4868133099,2025/05/30 16:00:53,IMPS-183132106288-Neha Sen,8947,,76713.93
4868133099,2025/06/12 13:34:23,UPI-DEBIT-331198933555-ira.malik@okhdfcbank,2440,,33854.93
4868133099,2025/05/07 00:55:55,UPI-DEBIT-678076956717-geeta.shukla@gpay,4344,,10854.93
992650231627,2025/05/31 10:18:00,NEFT-CREDIT-038355163511-SALARY,,70104,146837.83
992650231627,2025/06/01 22:18:48,NEFT-DEBIT-949943641183-Neha Sen,6534,,119047.83
992650231627,2025/06/12 22:19:00,IMPS-151227316678-Neha Sen,12957,,106090.83
992650231627,2025/06/07 06:09:07,NEFT-DEBIT-017931108427-Neha Jain,4722,,101368.83
992650231627,2025/05/06 16:49:43,UPI-DEBIT-508114485776-reyansh.desai@gpay,9070,,102200.83
180363492801,2025/05/02 22:52:57,UPI-DEBIT-303255054434-anika.bose@okaxis,889,,91766.56
180363492801,2025/05/07 01:01:54,UPI-DEBIT-703471086233-geeta.shukla@gpay,5640,,86126.56
180363492801,2025/05/01 23:35:48,IMPS-390796162685-Farhan Mishra,9074,,77052.56
180363492801,2025/05/11 15:53:19,IMPS-858829724003-Suresh Sheikh,9499,,67553.56
180363492801,2025/06/02 09:52:54,NEFT-DEBIT-596950400850-Siya Nair,2229,,44681.56
180363492801,2025/05/19 09:43:11,UPI-DEBIT-455044268012-suresh.sheikh@okicici,4564,,17373.56
9727320019,2025/05/20 04:00:20,NEFT-DEBIT-501012744625-Kabir Chopra,2639,,103294.9
9727320019,2025/05/08 18:46:06,UPI-DEBIT-963668746634-vivaan.pillai@okaxis,649,,43561.9
522117326870,2025/05/28 09:34:00,NEFT-CREDIT-592278267704-SALARY,,78010,126468.68
522117326870,2025/05/29 17:30:33,UPI-DEBIT-453297201081-rudra.goyal@gpay,9392,,192970.68
522117326870,2025/05/17 19:43:58,NEFT-DEBIT-266783620761-Suresh Sheikh,2318,,189815.68
522117326870,2025/06/11 03:54:35,UPI-DEBIT-036181742398-zara.banerjee@ybl,6973,,168275.68
522117326870,2025/06/12 06:55:03,UPI-DEBIT-479557879651-tara.chauhan@okhdfcbank,9949,,143665.68
522117326870,2025/06/06 04:00:37,UPI-DEBIT-736260332406-vijay.arora@gpay,4389,,131352.68
50986526211,2025/06/01 17:46:02,IMPS-137356810439-Shaurya Malhotra,6553,,19414.72
50986526211,2025/06/12 23:56:37,IMPS-547226181621-Shaurya Malhotra,6507,,8044.72
50986526211,2025/06/02 23:14:58,UPI-DEBIT-694586183052-farhan.mishra@oksbi,5922,,1526.72
50986526211,2025/05/02 10:30:15,UPI-DEBIT-296183336572-zara.banerjee@ybl,2163,,1446.72
50986526211,2025/05/04 21:15:36,UPI-CREDIT-993379837795-sana.bose@oksbi,,8318,9764.72
34851709122665,2025/05/26 09:26:14,NEFT-DEBIT-027718979760-Tara Chauhan,5183,,80764.62
34851709122665,2025/05/11 00:43:23,IMPS-651904729079-Anil Kapoor,4665,,76099.62
34851709122665,2025/06/02 21:04:18,NEFT-DEBIT-792564981468-Kabir Chopra,6414,,60703.62
34851709122665,2025/06/13 10:18:23,NEFT-DEBIT-771087544149-Tara Sen,5927,,54776.62
34851709122665,2025/06/14 18:33:04,UPI-DEBIT-116586815290-sana.bose@oksbi,4902,,49874.62
34851709122665,2025/06/03 09:13:38,UPI-CREDIT-353415229155-aditi.malik@okhdfcbank,,8642,58516.62
34851709122665,2025/05/23 21:47:13,UPI-DEBIT-833122943548-anil.kapoor@okicici,9956,,42272.62
34851709122665,2025/05/18 08:47:08,UPI-DEBIT-916544756266-sana.bose@oksbi,3601,,32377.62
34851709122665,2025/05/27 18:10:20,UPI-CREDIT-584260361712-tara.chauhan@okhdfcbank,,1251,33628.62
5453068271,2025/05/29 12:31:00,NEFT-CREDIT-385025308500-SALARY,,31023,59206.15
5453068271,2025/05/18 04:20:01,NEFT-DEBIT-046242533491-Neha Jain,2077,,76438.15
5453068271,2025/06/09 22:10:09,UPI-DEBIT-679448031584-ayesha.pillai@okhdfcbank,1706,,74732.15
5453068271,2025/06/13 06:07:34,IMPS-767696675800-Ayesha Pillai,7977,,54447.15
5453068271,2025/06/14 11:12:07,UPI-DEBIT-834129227368-reyansh.desai@gpay,10041,,44406.15
5453068271,2025/05/14 14:49:08,UPI-DEBIT-211836889910-ayesha.pillai@okhdfcbank,8798,,42458.15
5453068271,2025/05/11 22:41:26,UPI-CREDIT-419851705393-reyansh.desai@gpay,,1135,43593.15
81405332418,2025/05/01 08:19:00,NEFT-CREDIT-884730353571-SALARY,,73547,83080.6
81405332418,2025/06/02 14:43:28,NEFT-DEBIT-674397933377-Om Mishra,8935,,44667.6
81405332418,2025/05/31 20:36:56,IMPS-635630971145-Vivaan Pillai,4718,,37215.6
81405332418,2025/05/31 16:21:04,IMPS-064830897265-Neha Jain,6037,,31178.6
81405332418,2025/05/29 19:41:53,UPI-CREDIT-451570182974-pari.verma@ybl,,9620,40798.6
81405332418,2025/05/20 02:54:56,UPI-CREDIT-734396667482-shaurya.malhotra@gpay,,3810,51261.6
81405332418,2025/05/18 17:41:59,UPI-CREDIT-478231571182-neha.jain@okicici,,4608,46142.6
740064800522,2025/05/15 02:19:37,IMPS-193195935948-Neha Sen,5750,,44136.25
740064800522,2025/05/12 12:20:58,IMPS-957897316357-Aditya Bhatt,2357,,32054.25
740064800522,2025/06/02 23:21:40,NEFT-DEBIT-580954042315-Pari Verma,12171,,13562.25
740064800522,2025/06/03 11:56:14,NEFT-DEBIT-291897695212-Aditya Bhatt,2117,,11445.25
740064800522,2025/06/11 09:50:23,NEFT-DEBIT-284023782717-Tara Sen,2195,,-3530.75
740064800522,2025/05/20 16:44:21,UPI-DEBIT-956533557814-tara.sen@okhdfcbank,6179,,-24854.75
36078603370,2025/05/14 15:47:27,NEFT-DEBIT-308718085630-Avni Mukherjee,330,,36779.42
36078603370,2025/05/30 08:29:28,IMPS-991284552921-Ajay Sen,2883,,21465.42
36078603370,2025/05/07 11:37:37,UPI-DEBIT-606950627074-aditi.malik@okhdfcbank,5301,,16164.42
36078603370,2025/06/07 18:33:34,UPI-DEBIT-161431972684-vivaan.pillai@okaxis,4434,,-17960.58
36078603370,2025/06/12 01:01:51,UPI-DEBIT-661946822194-neha.sen@okicici,1787,,-21360.58
82552252227,2025/05/26 00:28:31,NEFT-DEBIT-451179847479-Tara Sen,5732,,67206.48
82552252227,2025/06/03 01:49:06,UPI-DEBIT-404438302377-suresh.trivedi@okicici,4829,,26086.48
82552252227,2025/05/02 21:33:09,UPI-DEBIT-599576183850-geeta.shukla@gpay,4754,,12872.48
82552252227,2025/05/03 02:33:31,UPI-CREDIT-083020248838-suresh.trivedi@okicici,,7617,3500.48
6661385008,2025/05/07 05:20:59,UPI-DEBIT-856612825436-om.mishra@gpay,2426,,133878.22
6661385008,2025/05/09 01:25:30,IMPS-718927219554-Avni Chowdhury,2727,,131151.22
6661385008,2025/05/16 20:10:17,IMPS-327810568055-Reyansh Desai,14033,,117118.22
6661385008,2025/05/17 23:15:33,IMPS-044858852739-Reyansh Desai,7135,,100569.22
6661385008,2025/06/12 00:58:06,NEFT-DEBIT-525634418154-Avni Chowdhury,11980,,77725.22
6661385008,2025/06/02 22:56:17,NEFT-DEBIT-067694225117-Reyansh Desai,7348,,70377.22
6661385008,2025/05/25 13:04:21,UPI-DEBIT-241764649051-om.mishra@gpay,648,,51947.22
6661385008,2025/05/30 15:56:54,UPI-DEBIT-629322502687-om.mishra@gpay,2621,,37989.22
98292964413525,2025/05/30 10:19:00,NEFT-CREDIT-509197854558-SALARY,,74380,81868.5
98292964413525,2025/05/09 02:42:21,UPI-DEBIT-423237314559-tara.thakur@paytm,8619,,147629.5
98292964413525,2025/06/09 15:15:20,IMPS-765532795550-Avni Chowdhury,4905,,133492.5
94005019663,2025/05/29 08:02:00,NEFT-CREDIT-537521451244-SALARY,,49837,74174.62
94005019663,2025/05/02 06:05:05,UPI-DEBIT-375473200142-myra.agarwal@paytm,4463,,69711.62
94005019663,2025/05/01 01:59:35,UPI-DEBIT-908056435735-farhan.mishra@oksbi,9860,,39122.62
83573818028,2025/05/31 08:42:00,NEFT-CREDIT-481294270157-SALARY,,60966,144308.93
83573818028,2025/06/07 19:52:09,UPI-DEBIT-413718903539-mahesh.agarwal@gpay,5403,,110759.93
83573818028,2025/06/07 03:37:42,UPI-DEBIT-425743675589-anil.kapoor@okicici,14939,,84440.93
83573818028,2025/05/06 03:33:05,UPI-CREDIT-388490180811-anil.kapoor@okicici,,1644,82726.93
83573818028,2025/05/23 17:22:23,UPI-DEBIT-608762963247-siya.nair@okhdfcbank,7899,,74827.93
83573818028,2025/06/08 12:06:42,UPI-DEBIT-023926063389-anika.bose@okaxis,8457,,66370.93
394373189424,2025/05/30 11:21:00,NEFT-CREDIT-300160131511-SALARY,,79348,128241.09
394373189424,2025/05/11 23:51:16,NEFT-DEBIT-415165810744-Neha Jain,2648,,125593.09
394373189424,2025/05/20 11:35:16,NEFT-DEBIT-976717158730-Tara Thakur,7343,,116791.09
394373189424,2025/06/07 04:31:35,IMPS-941499937517-Rudra Goyal,205,,84673.09
394373189424,2025/05/07 13:26:32,UPI-CREDIT-291252526845-anil.kapoor@okicici,,2885,78449.09
394373189424,2025/05/19 01:56:43,UPI-DEBIT-465281796984-tara.thakur@paytm,4600,,73849.09
394373189424,2025/06/03 11:30:20,UPI-DEBIT-459171533968-shaurya.malhotra@gpay,4103,,69746.09
394373189424,2025/05/10 16:26:50,UPI-DEBIT-025527587770-neha.jain@okicici,2123,,68221.09
7298377877,2025/05/13 15:03:22,UPI-DEBIT-902805175248-vivaan.pillai@okaxis,7709,,58327.84
7298377877,2025/05/19 03:54:26,NEFT-DEBIT-911072286585-Imran Gupta,10226,,38578.84
7298377877,2025/06/14 05:30:32,NEFT-DEBIT-685826514030-Imran Gupta,2809,,24614.84
7298377877,2025/06/08 17:14:29,NEFT-DEBIT-251212601872-Anil Kapoor,4372,,7016.84
7298377877,2025/05/25 09:22:37,UPI-DEBIT-314668459006-anil.kapoor@okicici,3516,,-778.16
7298377877,2025/05/28 18:39:16,UPI-CREDIT-463683291026-vivaan.pillai@okaxis,,8424,1718.84
7298377877,2025/05/03 05:46:21,UPI-DEBIT-582697675286-anil.kapoor@okicici,9496,,-7777.16
0413362539,2025/05/29 08:43:00,NEFT-CREDIT-246961135764-SALARY,,78786,95537.79
0413362539,2025/05/26 16:02:13,NEFT-DEBIT-721378701396-Reyansh Iyer,2640,,90127.79
0413362539,2025/05/05 08:44:47,UPI-DEBIT-583489373822-pari.verma@ybl,11110,,79017.79
0413362539,2025/06/09 22:30:31,UPI-DEBIT-622319302384-ramesh.yadav@gpay,2625,,63052.79
91763516745212,2025/05/13 05:07:33,NEFT-DEBIT-331508844807-Suresh Sheikh,1815,,102285.92
91763516745212,2025/05/30 15:55:45,IMPS-264936547605-Ira Malik,1271,,101014.92
91763516745212,2025/06/04 14:32:25,NEFT-DEBIT-394400310919-Ayesha Singh,7960,,87866.92
91763516745212,2025/05/21 12:55:39,UPI-CREDIT-538046414268-imran.gupta@paytm,,9724,97590.92
91763516745212,2025/05/27 04:11:21,UPI-DEBIT-701383012577-imran.gupta@paytm,5874,,91716.92
26653322498,2025/05/28 12:52:00,NEFT-CREDIT-681320339671-SALARY,,52646,67490.9
26653322498,2025/05/14 05:07:21,NEFT-DEBIT-972744366250-Ajay Trivedi,5980,,61510.9
26653322498,2025/05/25 15:53:35,UPI-DEBIT-144862869560-suresh.trivedi@okicici,6944,,54566.9
26653322498,2025/05/12 06:03:11,IMPS-250369067514-Avni Mukherjee,390,,54176.9
26653322498,2025/06/14 12:04:32,IMPS-744183550843-Neha Jain,7793,,42686.9
26653322498,2025/06/03 01:51:14,IMPS-395656390977-Neha Jain,4132,,38554.9
26653322498,2025/06/02 15:44:05,UPI-CREDIT-733484581632-neha.jain@okicici,,2894,34021.9
26653322498,2025/05/30 04:31:04,UPI-DEBIT-127604473361-neha.jain@okicici,2650,,31371.9
26653322498,2025/06/12 00:57:17,UPI-DEBIT-342528675115-ira.malik@okhdfcbank,7209,,24162.9
26653322498,2025/06/06 22:53:31,UPI-DEBIT-553864358603-ira.malik@okhdfcbank,1571,,22591.9
26653322498,2025/05/29 04:35:01,UPI-DEBIT-281093623365-ira.malik@okhdfcbank,4498,,13656.9
56923094740,2025/05/20 13:56:39,NEFT-DEBIT-781932388366-Imran Gupta,1371,,33419.95
56923094740,2025/05/11 09:39:05,UPI-CREDIT-976611386612-farhan.mishra@oksbi,,7231,20532.95
77701473727,2025/05/09 15:27:49,UPI-DEBIT-815694012969-tara.sen@okhdfcbank,5524,,92368.72
77701473727,2025/05/26 13:10:29,NEFT-DEBIT-638844918878-Anika Bose,6282,,86086.72
77701473727,2025/05/23 13:15:25,IMPS-947660496084-Tara Sen,7808,,78278.72
77701473727,2025/06/04 04:47:51,UPI-DEBIT-376830722328-avni.mukherjee@oksbi,6046,,65499.72
77701473727,2025/06/04 11:12:40,NEFT-DEBIT-031004431949-Tara Sen,5357,,54354.72
77701473727,2025/05/08 18:02:50,UPI-DEBIT-436307700277-anika.bose@okaxis,7442,,46912.72
03746811174194,2025/05/07 10:33:59,UPI-DEBIT-194452846696-mahesh.agarwal@gpay,2065,,30052.92
03746811174194,2025/06/08 01:46:45,NEFT-DEBIT-289212090195-Sai Shah,8768,,21284.92
03746811174194,2025/06/09 00:26:29,IMPS-267647134415-Sai Shah,6678,,-4109.08
03746811174194,2025/06/06 22:07:10,IMPS-410815115072-Sana Bose,2525,,-6634.08
03746811174194,2025/05/11 12:52:14,UPI-DEBIT-998666262878-sana.bose@oksbi,863,,-10613.08
03746811174194,2025/05/09 13:51:40,UPI-DEBIT-499293226381-anil.kapoor@okicici,9562,,-20175.08
03746811174194,2025/05/22 17:06:01,UPI-DEBIT-236698199443-sai.shah@paytm,6478,,-26653.08
03746811174194,2025/05/11 17:20:29,UPI-DEBIT-810607673299-mahesh.agarwal@gpay,6407,,-34386.08
625645248422,2025/05/31 11:21:00,NEFT-CREDIT-829365357788-SALARY,,41584,95238.24
625645248422,2025/05/12 03:54:35,UPI-DEBIT-186581398581-anika.bose@okaxis,1018,,94220.24
625645248422,2025/06/05 20:25:55,UPI-DEBIT-738045724915-aditya.bhatt@okaxis,3812,,75958.24
625645248422,2025/05/29 18:10:16,UPI-CREDIT-831250380610-anika.bose@okaxis,,1875,69642.24
625645248422,2025/05/18 06:12:29,UPI-DEBIT-233013046655-ayesha.pillai@okhdfcbank,745,,68897.24
625645248422,2025/05/28 03:38:59,UPI-DEBIT-925922786496-anika.bose@okaxis,5247,,63650.24
625645248422,2025/05/25 21:25:23,UPI-DEBIT-864986776240-anika.bose@okaxis,452,,54148.24
625645248422,2025/05/01 12:26:38,UPI-DEBIT-242885084618-anika.reddy@gpay,7652,,46496.24
946862541799,2025/05/20 21:18:41,NEFT-DEBIT-061103325623-Shaurya Malhotra,2335,,109836.86
946862541799,2025/06/11 08:12:38,IMPS-819509278718-Shaurya Malhotra,5635,,82362.86
946862541799,2025/05/31 19:31:09,NEFT-DEBIT-552384337423-Neha Sen,5643,,75130.86
946862541799,2025/06/08 12:08:42,NEFT-DEBIT-522233758104-Aditya Bhatt,500,,68177.86
946862541799,2025/05/24 06:17:49,UPI-DEBIT-724207298569-ira.malik@okhdfcbank,4770,,63407.86
946862541799,2025/05/28 18:20:34,UPI-CREDIT-951026383036-shaurya.malhotra@gpay,,2975,66382.86
946862541799,2025/05/25 13:24:06,UPI-CREDIT-230587983745-zara.banerjee@ybl,,9867,76249.86
946862541799,2025/05/24 00:58:31,UPI-DEBIT-239839448268-shaurya.malhotra@gpay,9189,,66929.86
946862541799,2025/05/04 05:47:03,UPI-DEBIT-299804238653-ira.malik@okhdfcbank,6914,,60015.86
08643191252,2025/05/01 10:41:00,NEFT-CREDIT-575351214378-SALARY,,72725,93812.7
08643191252,2025/06/04 03:59:16,UPI-CREDIT-045381515946-siya.nair@okhdfcbank,,1454,23204.7
32531577579020,2025/05/30 08:42:41,UPI-DEBIT-479546281723-anil.kapoor@okicici,4796,,6526.04
32531577579020,2025/05/04 20:22:24,UPI-DEBIT-962076743158-avni.mukherjee@oksbi,6318,,-5161.96
32531577579020,2025/05/31 13:55:19,UPI-DEBIT-676299060834-neha.sen@okicici,4641,,-22462.96
